03/11/2026 16:51:11 - INFO - root - Using resolved device: cuda
03/11/2026 16:51:11 - INFO - root - Output dir: outputs/bert_crf_20260311_165111
03/11/2026 16:51:11 - INFO - root - Pretrained: hfl/chinese-bert-wwm-ext
03/11/2026 16:51:11 - INFO - root - Seed: 42
03/11/2026 16:51:17 - INFO - src.training.trainer - [Train] epoch=1 global_step=50 loss=43.6292
03/11/2026 16:51:21 - INFO - src.training.trainer - [Train] epoch=1 global_step=100 loss=17.3160
03/11/2026 16:51:25 - INFO - src.training.trainer - [Train] epoch=1 global_step=150 loss=12.2585
03/11/2026 16:51:29 - INFO - src.training.trainer - [Train] epoch=1 global_step=200 loss=10.3326
03/11/2026 16:51:33 - INFO - src.training.trainer - [Train] epoch=1 global_step=250 loss=9.6860
03/11/2026 16:51:38 - INFO - src.training.trainer - [Train] epoch=1 global_step=300 loss=8.1886
03/11/2026 16:51:43 - INFO - src.training.trainer - [Epoch 1] train_loss=24.1725 dev_f1=0.7419
03/11/2026 16:51:44 - INFO - src.training.trainer - [BEST] new best_f1=0.7419 saved to best.pt
03/11/2026 16:51:47 - INFO - src.training.trainer - [Train] epoch=2 global_step=350 loss=8.3504
03/11/2026 16:51:51 - INFO - src.training.trainer - [Train] epoch=2 global_step=400 loss=7.0749
03/11/2026 16:51:55 - INFO - src.training.trainer - [Train] epoch=2 global_step=450 loss=5.5580
03/11/2026 16:51:59 - INFO - src.training.trainer - [Train] epoch=2 global_step=500 loss=3.6799
03/11/2026 16:52:03 - INFO - src.training.trainer - [Train] epoch=2 global_step=550 loss=9.0133
03/11/2026 16:52:08 - INFO - src.training.trainer - [Train] epoch=2 global_step=600 loss=3.9161
03/11/2026 16:52:12 - INFO - src.training.trainer - [Train] epoch=2 global_step=650 loss=5.5665
03/11/2026 16:52:16 - INFO - src.training.trainer - [Epoch 2] train_loss=6.5823 dev_f1=0.7958
03/11/2026 16:52:19 - INFO - src.training.trainer - [BEST] new best_f1=0.7958 saved to best.pt
03/11/2026 16:52:23 - INFO - src.training.trainer - [Train] epoch=3 global_step=700 loss=4.4960
03/11/2026 16:52:27 - INFO - src.training.trainer - [Train] epoch=3 global_step=750 loss=4.2811
03/11/2026 16:52:32 - INFO - src.training.trainer - [Train] epoch=3 global_step=800 loss=3.9593
03/11/2026 16:52:36 - INFO - src.training.trainer - [Train] epoch=3 global_step=850 loss=5.9614
03/11/2026 16:52:40 - INFO - src.training.trainer - [Train] epoch=3 global_step=900 loss=4.4743
03/11/2026 16:52:44 - INFO - src.training.trainer - [Train] epoch=3 global_step=950 loss=4.7169
03/11/2026 16:52:48 - INFO - src.training.trainer - [Train] epoch=3 global_step=1000 loss=2.6037
03/11/2026 16:52:51 - INFO - src.training.trainer - [Epoch 3] train_loss=4.1211 dev_f1=0.7811
03/11/2026 16:52:57 - INFO - src.training.trainer - [Train] epoch=4 global_step=1050 loss=2.9138
03/11/2026 16:53:01 - INFO - src.training.trainer - [Train] epoch=4 global_step=1100 loss=1.9889
03/11/2026 16:53:06 - INFO - src.training.trainer - [Train] epoch=4 global_step=1150 loss=3.3139
03/11/2026 16:53:10 - INFO - src.training.trainer - [Train] epoch=4 global_step=1200 loss=2.4247
03/11/2026 16:53:14 - INFO - src.training.trainer - [Train] epoch=4 global_step=1250 loss=2.7052
03/11/2026 16:53:18 - INFO - src.training.trainer - [Train] epoch=4 global_step=1300 loss=2.4899
03/11/2026 16:53:25 - INFO - src.training.trainer - [Epoch 4] train_loss=2.5827 dev_f1=0.7945
03/11/2026 16:53:27 - INFO - src.training.trainer - [Train] epoch=5 global_step=1350 loss=1.4315
03/11/2026 16:53:31 - INFO - src.training.trainer - [Train] epoch=5 global_step=1400 loss=1.5651
03/11/2026 16:53:36 - INFO - src.training.trainer - [Train] epoch=5 global_step=1450 loss=0.6757
03/11/2026 16:53:40 - INFO - src.training.trainer - [Train] epoch=5 global_step=1500 loss=2.6653
03/11/2026 16:53:44 - INFO - src.training.trainer - [Train] epoch=5 global_step=1550 loss=1.0603
03/11/2026 16:53:48 - INFO - src.training.trainer - [Train] epoch=5 global_step=1600 loss=1.8000
03/11/2026 16:53:52 - INFO - src.training.trainer - [Train] epoch=5 global_step=1650 loss=2.0219
03/11/2026 16:53:57 - INFO - src.training.trainer - [Epoch 5] train_loss=1.6703 dev_f1=0.7797
03/11/2026 16:54:01 - INFO - src.training.trainer - [Train] epoch=6 global_step=1700 loss=1.0692
03/11/2026 16:54:06 - INFO - src.training.trainer - [Train] epoch=6 global_step=1750 loss=1.0924
03/11/2026 16:54:10 - INFO - src.training.trainer - [Train] epoch=6 global_step=1800 loss=0.6944
03/11/2026 16:54:14 - INFO - src.training.trainer - [Train] epoch=6 global_step=1850 loss=1.3046
03/11/2026 16:54:18 - INFO - src.training.trainer - [Train] epoch=6 global_step=1900 loss=0.6542
03/11/2026 16:54:23 - INFO - src.training.trainer - [Train] epoch=6 global_step=1950 loss=1.0076
03/11/2026 16:54:27 - INFO - src.training.trainer - [Train] epoch=6 global_step=2000 loss=0.7437
03/11/2026 16:54:31 - INFO - src.training.trainer - [Epoch 6] train_loss=1.0722 dev_f1=0.7880
03/11/2026 16:54:36 - INFO - src.training.trainer - [Train] epoch=7 global_step=2050 loss=2.2910
03/11/2026 16:54:40 - INFO - src.training.trainer - [Train] epoch=7 global_step=2100 loss=1.3311
03/11/2026 16:54:44 - INFO - src.training.trainer - [Train] epoch=7 global_step=2150 loss=0.7884
03/11/2026 16:54:48 - INFO - src.training.trainer - [Train] epoch=7 global_step=2200 loss=0.2403
03/11/2026 16:54:52 - INFO - src.training.trainer - [Train] epoch=7 global_step=2250 loss=0.3217
03/11/2026 16:54:56 - INFO - src.training.trainer - [Train] epoch=7 global_step=2300 loss=0.5598
03/11/2026 16:55:00 - INFO - src.training.trainer - [Train] epoch=7 global_step=2350 loss=0.8310
03/11/2026 16:55:03 - INFO - src.training.trainer - [Epoch 7] train_loss=0.6951 dev_f1=0.7879
03/11/2026 16:55:09 - INFO - src.training.trainer - [Train] epoch=8 global_step=2400 loss=0.9210
03/11/2026 16:55:13 - INFO - src.training.trainer - [Train] epoch=8 global_step=2450 loss=0.1007
03/11/2026 16:55:17 - INFO - src.training.trainer - [Train] epoch=8 global_step=2500 loss=0.5629
03/11/2026 16:55:22 - INFO - src.training.trainer - [Train] epoch=8 global_step=2550 loss=0.3004
03/11/2026 16:55:26 - INFO - src.training.trainer - [Train] epoch=8 global_step=2600 loss=0.1365
03/11/2026 16:55:30 - INFO - src.training.trainer - [Train] epoch=8 global_step=2650 loss=0.1646
03/11/2026 16:55:36 - INFO - src.training.trainer - [Epoch 8] train_loss=0.4483 dev_f1=0.7807
03/11/2026 16:55:39 - INFO - src.training.trainer - [Train] epoch=9 global_step=2700 loss=0.7013
03/11/2026 16:55:43 - INFO - src.training.trainer - [Train] epoch=9 global_step=2750 loss=0.8932
03/11/2026 16:55:47 - INFO - src.training.trainer - [Train] epoch=9 global_step=2800 loss=0.4065
03/11/2026 16:55:52 - INFO - src.training.trainer - [Train] epoch=9 global_step=2850 loss=0.0902
03/11/2026 16:55:56 - INFO - src.training.trainer - [Train] epoch=9 global_step=2900 loss=0.7464
03/11/2026 16:56:00 - INFO - src.training.trainer - [Train] epoch=9 global_step=2950 loss=0.4694
03/11/2026 16:56:04 - INFO - src.training.trainer - [Train] epoch=9 global_step=3000 loss=0.1400
03/11/2026 16:56:09 - INFO - src.training.trainer - [Epoch 9] train_loss=0.2978 dev_f1=0.7833
03/11/2026 16:56:12 - INFO - src.training.trainer - [Train] epoch=10 global_step=3050 loss=0.1662
03/11/2026 16:56:16 - INFO - src.training.trainer - [Train] epoch=10 global_step=3100 loss=0.0986
03/11/2026 16:56:20 - INFO - src.training.trainer - [Train] epoch=10 global_step=3150 loss=0.1105
03/11/2026 16:56:25 - INFO - src.training.trainer - [Train] epoch=10 global_step=3200 loss=0.2518
03/11/2026 16:56:29 - INFO - src.training.trainer - [Train] epoch=10 global_step=3250 loss=0.0909
03/11/2026 16:56:33 - INFO - src.training.trainer - [Train] epoch=10 global_step=3300 loss=0.0389
03/11/2026 16:56:37 - INFO - src.training.trainer - [Train] epoch=10 global_step=3350 loss=0.1653
03/11/2026 16:56:40 - INFO - src.training.trainer - [Epoch 10] train_loss=0.1852 dev_f1=0.7828
03/11/2026 16:56:42 - INFO - root - [DONE] Training finished. best_f1=0.7958, best_epoch=2
